,NEIBORHOOD GROUP,CLASS,SALE PRICE
762,Manhattan,R,4000000
765,Manhattan,R,3225000
766,Manhattan,R,4000000
767,Manhattan,R,1015000
768,Manhattan,R,1682500
769,Manhattan,R,939000
771,Manhattan,R,1475000
772,Manhattan,R,855000
773,Manhattan,R,1915000
774,Manhattan,R,1760000
775,Manhattan,R,2835000
776,Manhattan,R,2000000
777,Manhattan,R,1215000
778,Manhattan,R,1340000
779,Manhattan,R,2318000
780,Manhattan,R,1310000
781,Manhattan,R,1515000
782,Manhattan,R,875000
783,Manhattan,R,900000
784,Manhattan,R,750000
785,Manhattan,R,495000
786,Manhattan,R,625000
789,Manhattan,R,855000
791,Manhattan,R,1974000
792,Manhattan,R,1519999
795,Manhattan,R,2550000
797,Manhattan,R,2625000
798,Manhattan,R,4900000
799,Manhattan,R,3850000
800,Manhattan,R,1830000
801,Manhattan,R,3540000
802,Manhattan,R,3450000
803,Manhattan,R,2015000
804,Manhattan,R,2010000
805,Manhattan,R,1570000
806,Manhattan,R,1015000
807,Manhattan,R,2250000
808,Manhattan,R,1497500
809,Manhattan,R,2225000
810,Manhattan,R,2235000
812,Manhattan,R,2395000
814,Manhattan,R,1615000
815,Manhattan,R,1775000
816,Manhattan,R,2750000
817,Manhattan,R,2375000
819,Manhattan,R,2615000
820,Manhattan,R,1675000
821,Manhattan,R,1680000
822,Manhattan,R,1730000
824,Manhattan,R,1900000
825,Manhattan,R,2650000
826,Manhattan,R,1155000
827,Manhattan,R,765000
828,Manhattan,R,640000
829,Manhattan,R,2999000
830,Manhattan,R,1508000
835,Manhattan,R,4000000
836,Manhattan,R,2000000
837,Manhattan,R,13250000
838,Manhattan,R,8000000
842,Manhattan,R,2450000
843,Manhattan,R,2443800
845,Manhattan,R,2320000
846,Manhattan,R,3680000
849,Manhattan,R,4100000
850,Manhattan,R,3625000
851,Manhattan,R,3900000
852,Manhattan,R,9939120
853,Manhattan,R,1725000
854,Manhattan,R,1275000
855,Manhattan,R,1037462
856,Manhattan,R,575000
857,Manhattan,R,590000
858,Manhattan,R,585000
859,Manhattan,R,712500
860,Manhattan,R,3200000
861,Manhattan,R,590000
862,Manhattan,R,3525000
863,Manhattan,R,1205000
864,Manhattan,R,980000
865,Manhattan,R,615000
866,Manhattan,R,1300000
867,Manhattan,R,595000
868,Manhattan,R,638000
869,Manhattan,R,550000
870,Manhattan,R,1200000
871,Manhattan,R,620000
872,Manhattan,R,1325000
874,Manhattan,R,5199934
875,Manhattan,R,2750000
876,Manhattan,R,643000
877,Manhattan,R,1100000
878,Manhattan,R,620000
879,Manhattan,R,545000
880,Manhattan,R,600000
881,Manhattan,R,580000
882,Manhattan,R,565000
883,Manhattan,R,525000
884,Manhattan,R,782071
885,Manhattan,R,599000
886,Manhattan,R,2100000
887,Manhattan,R,1915000
888,Manhattan,R,465000
889,Manhattan,R,900000
890,Manhattan,R,695000
891,Manhattan,R,967500
892,Manhattan,R,605000
893,Manhattan,R,775000
894,Manhattan,R,580000
895,Manhattan,R,900000
896,Manhattan,R,470000
897,Manhattan,R,500000
